Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3,Difficulty
What is the capital of France?,Paris,London,Berlin,Madrid,1
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,2
What is the chemical symbol for water?,H2O,O2,CO2,NaCl,1
Which planet is known as the Red Planet?,Mars,Jupiter,Saturn,Venus,2
Who wrote 'Hamlet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,3
What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,2
In what year did World War II end?,1945,1939,1918,1941,4
What is the hardest natural substance on Earth?,Diamond,Gold,Iron,Quartz,3
Who was the first President of the United States?,George Washington,Thomas Jefferson,Abraham Lincoln,John Adams,2
What is the currency of Japan?,Yen,Won,Yuan,Dollar,3
Which country is known as the Land of the Rising Sun?,Japan,China,South Korea,Thailand,2
What is the main ingredient in guacamole?,Avocado,Tomato,Onion,Pepper,1
How many continents are there?,Seven,Five,Six,Eight,1
What is the tallest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse,3
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Albert Einstein,5
What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,4
What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,2
Which animal is known as the 'King of the Jungle'?,Lion,Tiger,Elephant,Gorilla,1
What is the freezing point of water in Celsius?,0°C,32°C,100°C,-10°C,2
"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,William Faulkner,5
What is the largest desert in the world?,Antarctic Desert,Sahara Desert,Arabian Desert,Gobi Desert,5
What is the primary language spoken in Brazil?,Portuguese,Spanish,English,French,3
What is the square root of 144?,12,11,13,10,2
Which artist cut off his own ear?,Vincent van Gogh,Pablo Picasso,Salvador Dalí,Claude Monet,4
What is the chemical symbol for Gold?,Au,Ag,Fe,Pb,4
How many sides does a hexagon have?,Six,Five,Seven,Eight,2
Which famous scientist developed the theory of relativity?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla,3
What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,3
What is the smallest prime number?,2,1,3,0,3
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Donatello,4
What is the most populous country in the world?,India,China,United States,Indonesia,3
"In Greek mythology, who is the god of the sea?",Poseidon,Zeus,Hades,Apollo,3
What is the main component of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,4
What type of animal is a Komodo dragon?,Lizard,Snake,Crocodile,Dinosaur,4
What is the capital of Italy?,Rome,Venice,Milan,Florence,1
Who was the first person to step on the moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,2
What is the longest river in the world?,Nile River,Amazon River,Yangtze River,Mississippi River,4
Which element has the atomic number 1?,Hydrogen,Helium,Oxygen,Lithium,2
What sport is played at Wimbledon?,Tennis,Golf,Cricket,Soccer,2
Who is the author of the Harry Potter series?,J.K. Rowling,Stephen King,George R.R. Martin,Suzanne Collins,2
What is the currency of the United Kingdom?,Pound Sterling,Euro,Dollar,Franc,2
What is the largest mammal in the world?,Blue Whale,African Elephant,Giraffe,Sperm Whale,3
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,2
Which of these is a programming language?,Python,Serpent,Cobra,Anaconda,3
What is the boiling point of water in Celsius?,100°C,0°C,50°C,212°C,2
What is the main gas found in the air we breathe?,Nitrogen,Oxygen,Carbon Dioxide,Argon,4
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Guglielmo Marconi,3
What is the capital of Egypt?,Cairo,Alexandria,Giza,Luxor,3
What is the smallest planet in our solar system?,Mercury,Mars,Venus,Earth,4
Which country gifted the Statue of Liberty to the USA?,France,United Kingdom,Spain,Germany,3
What is the primary ingredient in traditional Japanese miso soup?,Soybeans,Seaweed,Tofu,Rice,4
How many players are on a standard soccer team on the field?,Eleven,Ten,Nine,Twelve,2
What is the name of the galaxy that contains our Solar System?,Milky Way,Andromeda,Triangulum,Whirlpool,2
"Who wrote ""Pride and Prejudice""?",Jane Austen,Charlotte Brontë,Emily Brontë,Mary Shelley,4
What is the chemical symbol for Sodium?,Na,S,So,Nd,5
In which city is the Eiffel Tower located?,Paris,Rome,London,Berlin,1
What is the fastest land animal?,Cheetah,Lion,Pronghorn,Wildebeest,3
Which nutrient is the main source of energy for the body?,Carbohydrates,Proteins,Fats,Vitamins,3
Who was the Roman god of war?,Mars,Jupiter,Apollo,Mercury,4
What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,2
What is the most spoken language in the world by number of native speakers?,Mandarin Chinese,Spanish,English,Hindi,5
What instrument does a violinist play?,Violin,Cello,Viola,Double Bass,1
How many strings does a standard guitar have?,Six,Four,Five,Seven,2
What is the process by which plants make their own food?,Photosynthesis,Respiration,Transpiration,Fermentation,3
What is the largest bone in the human body?,Femur,Tibia,Humerus,Pelvis,3
What is the capital of Russia?,Moscow,Saint Petersburg,Novosibirsk,Yekaterinburg,3
"Who directed the movie ""Jurassic Park""?",Steven Spielberg,George Lucas,James Cameron,Christopher Nolan,3
What is the chemical symbol for Iron?,Fe,Ir,I,In,4
What unit is used to measure electrical resistance?,Ohm,Volt,Ampere,Watt,5
Which famous battle took place in 1066 in England?,Battle of Hastings,Battle of Stamford Bridge,Battle of Agincourt,Battle of Bosworth Field,6
"What is the main character in ""The Catcher in the Rye""?",Holden Caulfield,Jay Gatsby,Atticus Finch,Huckleberry Finn,5
Which ocean is the smallest?,Arctic Ocean,Indian Ocean,Atlantic Ocean,Southern Ocean,4
What is the capital of Argentina?,Buenos Aires,Santiago,Lima,Bogotá,4
What is the fear of spiders called?,Arachnophobia,Acrophobia,Claustrophobia,Agoraphobia,3
"Who painted ""Starry Night""?",Vincent van Gogh,Claude Monet,Edvard Munch,Pierre-Auguste Renoir,3
What is the human body's largest organ?,Skin,Liver,Brain,Lungs,4
Which country is famous for its tulips and windmills?,Netherlands,Belgium,Denmark,Germany,2
What is the chemical symbol for Silver?,Ag,Si,Au,S,4
In which sport would you perform a slam dunk?,Basketball,Volleyball,Tennis,Badminton,1
"Who wrote ""To Kill a Mockingbird""?",Harper Lee,Truman Capote,Flannery O'Connor,Eudora Welty,4
What is the capital of China?,Beijing,Shanghai,Hong Kong,Guangzhou,2
What is the main component of stars?,Hydrogen,Helium,Oxygen,Carbon,5
"Which composer wrote ""Für Elise""?",Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,4
How many colors are in a rainbow?,Seven,Six,Eight,Five,1
What is the national animal of Scotland?,Unicorn,Lion,Thistle,Haggis,6
What is the capital of South Korea?,Seoul,Busan,Incheon,Daegu,3
What is the study of earthquakes called?,Seismology,Geology,Volcanology,Meteorology,5
Which is the only mammal capable of sustained flight?,Bat,Flying squirrel,Sugar glider,Bird,3
What is the currency of India?,Rupee,Rupiah,Baht,Ringgit,3
Who was the Greek goddess of wisdom?,Athena,Aphrodite,Hera,Artemis,4
What is the capital of New Zealand?,Wellington,Auckland,Christchurch,Queenstown,4
What is the chemical symbol for Potassium?,K,P,Po,Pt,6
Which continent is the least populated?,Antarctica,Australia,South America,Europe,3
In what year did the Titanic sink?,1912,1905,1915,1920,4
What is the main ingredient in hummus?,Chickpeas,Tahini,Lentils,Eggplant,3
"Who is known as the ""Father of Computers""?",Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,5
What is the capital of Thailand?,Bangkok,Chiang Mai,Phuket,Pattaya,3
What is the largest type of cat?,Tiger,Lion,Jaguar,Leopard,4
What is the chemical symbol for Lead?,Pb,L,Le,Pl,6
What is the most common blood type in humans (ABO system)?,O+,A+,B+,AB+,5
Which country is home to the kangaroo?,Australia,New Zealand,South Africa,Papua New Guinea,1
What is the capital of Brazil?,Brasilia,Rio de Janeiro,São Paulo,Salvador,4
"Who wrote the ""Odyssey""?",Homer,Virgil,Sophocles,Plato,5
What is the softest mineral on the Mohs scale?,Talc,Graphite,Gypsum,Calcite,6
What is the capital of Mexico?,Mexico City,Guadalajara,Monterrey,Cancun,2
Which war was fought between the North and South in the United States?,Civil War,Revolutionary War,War of 1812,Mexican-American War,3
What is the chemical symbol for Helium?,He,H,Hy,Hm,2
"What is the main character's name in the ""Lord of the Rings"" books who carries the One Ring?",Frodo Baggins,Samwise Gamgee,Aragorn,Gandalf,3
What is the largest moon of Saturn?,Titan,Rhea,Enceladus,Mimas,7
"What does ""CPU"" stand for in computing?",Central Processing Unit,Computer Processing Unit,Central Program Unit,Computer Program Unit,3
What is the capital of Greece?,Athens,Thessaloniki,Patras,Heraklion,2
"Who painted ""The Persistence of Memory"" (melting clocks)?",Salvador Dalí,René Magritte,Max Ernst,Joan Miró,5
What is the currency of Switzerland?,Swiss Franc,Euro,Krone,Złoty,4
How many chambers does the human heart have?,Four,Two,Three,Five,2
What is the chemical symbol for Mercury (the element)?,Hg,Me,Mc,My,6
Which country is the largest by land area?,Russia,Canada,China,United States,3
What is the main language spoken in Argentina?,Spanish,Portuguese,Italian,Quechua,3
Who discovered gravity when an apple fell on his head (apocryphally)?,Isaac Newton,Galileo Galilei,Albert Einstein,Johannes Kepler,2
What is the capital of Portugal?,Lisbon,Porto,Faro,Braga,3
What is the term for a group of crows?,Murder,Flock,Colony,Herd,5
What is the chemical symbol for Calcium?,Ca,C,Cl,Cm,3
What is the largest fish in the ocean?,Whale Shark,Great White Shark,Basking Shark,Manta Ray,5
Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,2
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Bessie Coleman,Harriet Quimby,Jacqueline Cochran,5
What is the capital of Norway?,Oslo,Bergen,Trondheim,Stavanger,4
What is the chemical symbol for Tin?,Sn,Ti,Tn,T,7
What is the largest internal organ of the human body?,Liver,Lungs,Brain,Kidney,4
What is the capital of South Africa (administrative)?,Pretoria,Cape Town,Johannesburg,Durban,5
"What is ""E=mc²"" famously known as?",Einstein's mass-energy equivalence formula,Newton's law of motion,Pythagorean theorem,Planck's constant,4
What is the chemical symbol for Carbon?,C,Ca,Co,Cr,1
"Who wrote ""1984""?",George Orwell,Aldous Huxley,Ray Bradbury,Philip K. Dick,4
What is the world's most venomous fish?,Reef Stonefish,Pufferfish,Lionfish,Box Jellyfish (not a fish),7
What is the capital of Sweden?,Stockholm,Gothenburg,Malmö,Uppsala,4
What is the chemical symbol for Nitrogen?,N,Ni,Na,Ne,2
Who is the Norse god of thunder?,Thor,Odin,Loki,Freyr,3
What is the main ingredient in traditional Italian pesto?,Basil,Pine nuts,Parmesan cheese,Olive oil,3
What is the capital of Finland?,Helsinki,Tampere,Turku,Oulu,4
What is the process of a liquid turning into a gas called?,Evaporation,Condensation,Sublimation,Freezing,2
What is the chemical symbol for Oxygen?,O,Ox,Oy,On,1
Which U.S. state is known as the Sunshine State?,Florida,California,Arizona,Hawaii,2
What is the capital of Ireland?,Dublin,Cork,Galway,Limerick,3
"Who directed ""Pulp Fiction""?",Quentin Tarantino,Martin Scorsese,Steven Spielberg,Francis Ford Coppola,4
What is the chemical symbol for Copper?,Cu,Co,Cp,Cr,5
What is the world's largest religion by number of adherents?,Christianity,Islam,Hinduism,Buddhism,4
What is the capital of Denmark?,Copenhagen,Aarhus,Odense,Aalborg,4
What is the currency of Russia?,Ruble,Hryvnia,Tenge,Manat,4
What is the name of the phobia that involves an irrational fear of confined spaces?,Claustrophobia,Agoraphobia,Acrophobia,Mysophobia,3
What is the chemical symbol for Phosphorus?,P,Ph,Po,Ps,5
Who was the legendary king of Camelot?,King Arthur,King Richard,King Edward,King Henry,3
What is the capital of Peru?,Lima,Cusco,Arequipa,Trujillo,4
What is the main component of natural gas?,Methane,Ethane,Propane,Butane,6
Which ocean is Bermuda located in?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,4
What is the chemical symbol for Sulfur?,S,Su,Sl,Sf,4
"Who painted ""The Scream""?",Edvard Munch,Gustav Klimt,Egon Schiele,Oskar Kokoschka,5
What is the capital of Chile?,Santiago,Valparaíso,Concepción,Antofagasta,4
What is the term for the scientific study of plants?,Botany,Zoology,Mycology,Ecology,3
What is the chemical symbol for Silicon?,Si,S,Sc,Sl,5
What is the only U.S. state that starts with the letter 'P'?,Pennsylvania,Puerto Rico (not a state),Palau (not a state),Philippines (not a state),3
What is the capital of Saudi Arabia?,Riyadh,Jeddah,Mecca,Medina,4
What is the speed of light in a vacuum (approximate)?,300000 km/s,150000 km/s,500000 km/s,10000 km/s,6
What is the chemical symbol for Uranium?,U,Ur,Un,Um,5
Who is credited with inventing the World Wide Web?,Tim Berners-Lee,Bill Gates,Steve Jobs,Vint Cerf,6
What is the capital of Poland?,Warsaw,Kraków,Łódź,Wrocław,4
What is the main precious metal found in the 'Ring of Fire'?,Gold,Silver,Platinum,Copper,5
What is the chemical symbol for Zinc?,Zn,Z,Zi,Zc,5
"In the human body, what does the thyroid gland primarily regulate?",Metabolism,Blood sugar,Growth,Sleep,6
What is the capital of Turkey?,Ankara,Istanbul,Izmir,Bursa,4
Which country won the first FIFA World Cup in 1930?,Uruguay,Brazil,Argentina,Italy,7
What is the chemical symbol for Neon?,Ne,N,No,Ni,3
"Who composed ""The Four Seasons""?",Antonio Vivaldi,Johann Sebastian Bach,George Frideric Handel,Wolfgang Amadeus Mozart,5
What is the capital of Belgium?,Brussels,Antwerp,Ghent,Bruges,3
What is the world's largest coral reef system?,Great Barrier Reef,Belize Barrier Reef,Red Sea Coral Reef,Maldives Coral Reefs,3
What is the chemical symbol for Argon?,Ar,A,Ag,An,4
What is the name of the first manned mission to land on the Moon?,Apollo 11,Apollo 13,Apollo 8,Gemini 7,4
What is the capital of Austria?,Vienna,Salzburg,Innsbruck,Graz,3
What is the chemical symbol for Boron?,B,Bo,Br,Ba,5
"Who wrote ""Don Quixote""?",Miguel de Cervantes,Gabriel Garcia Marquez,Jorge Luis Borges,Carlos Ruiz Zafón,6
What is the capital of Hungary?,Budapest,Debrecen,Szeged,Miskolc,4
What is the currency of South Korea?,Won,Yen,Yuan,Baht,3
What is the chemical symbol for Fluorine?,F,Fl,Fo,Fu,5
Which ancient civilization built Machu Picchu?,Inca,Maya,Aztec,Olmec,4
What is the capital of Morocco?,Rabat,Casablanca,Marrakesh,Fes,5
What is the process where water vapor turns directly into ice?,Deposition,Sublimation,Condensation,Freezing,7
What is the chemical symbol for Lithium?,Li,L,Lt,Lm,4
Who is the Greek god of wine and festivity?,Dionysus,Apollo,Hermes,Ares,5
What is the capital of the Philippines?,Manila,Quezon City,Davao City,Cebu City,4
What is the main component of glass?,Silicon Dioxide (Silica),Calcium Carbonate,Sodium Carbonate,Lead Oxide,6
What is the chemical symbol for Beryllium?,Be,B,Br,Bl,6
What is the common name for acetylsalicylic acid?,Aspirin,Ibuprofen,Paracetamol,Penicillin,5
What is the capital of Colombia?,Bogotá,Medellín,Cali,Cartagena,4
Which element is crucial for making strong bones and teeth?,Calcium,Iron,Potassium,Sodium,2
What is the chemical symbol for Magnesium?,Mg,M,Ma,Mn,4
"Who painted ""Girl with a Pearl Earring""?",Johannes Vermeer,Rembrandt,Frans Hals,Jan Steen,6
What is the capital of Vietnam?,Hanoi,Ho Chi Minh City,Da Nang,Hue,4
What is the chemical symbol for Krypton?,Kr,K,Ky,Cr,6
What is the currency of Brazil?,Real,Peso,Dollar,Escudo,4
What is the chemical symbol for Chlorine?,Cl,C,Ch,Ce,4
"Who composed the music for ""Star Wars""?",John Williams,Hans Zimmer,Ennio Morricone,Howard Shore,3
What is the capital of Indonesia?,Jakarta,Surabaya,Bandung,Medan,4
What is the common name for sodium chloride?,Salt,Sugar,Baking Soda,Vinegar,1
What is the chemical symbol for Aluminum?,Al,A,Am,Au,3
What is the most abundant metal in the Earth's crust?,Aluminum,Iron,Calcium,Magnesium,6
What is the capital of Nigeria?,Abuja,Lagos,Kano,Ibadan,5
What is the unit of frequency?,Hertz (Hz),Watt (W),Joule (J),Newton (N),5
What is the chemical symbol for Manganese?,Mn,Mg,Ma,M,6
Who developed the first successful polio vaccine?,Jonas Salk,Albert Sabin,Louis Pasteur,Alexander Fleming,7
What is the capital of Malaysia?,Kuala Lumpur,George Town,Ipoh,Johor Bahru,4
Which gas makes up most of the Sun?,Hydrogen,Helium,Oxygen,Carbon,5
What is the chemical symbol for Nickel?,Ni,N,Nk,Nc,5
What is the name of the first artificial satellite launched into space?,Sputnik 1,Explorer 1,Vanguard 1,Luna 1,5
What is the capital of Czech Republic?,Prague,Brno,Ostrava,Pilsen,4
What is the world's longest mountain range (above sea level)?,Andes,Rockies,Himalayas,Alps,6
What is the chemical symbol for Iodine?,I,Io,Id,In,4
"Who wrote ""The Adventures of Tom Sawyer""?",Mark Twain,Charles Dickens,Robert Louis Stevenson,Jack London,3
What is the capital of Kenya?,Nairobi,Mombasa,Kisumu,Nakuru,4
What is the main ingredient in vodka?,Potatoes or Grains,Grapes,Agave,Sugarcane,4
What is the chemical symbol for Cobalt?,Co,C,Cb,Ct,6
Which artist is known for his 'Campbell's Soup Cans' work?,Andy Warhol,Roy Lichtenstein,Jasper Johns,Claes Oldenburg,4
What is the capital of Romania?,Bucharest,Cluj-Napoca,Timișoara,Iași,5
What is the study of fungi called?,Mycology,Botany,Zoology,Phycology,6
What is the chemical symbol for Xenon?,Xe,X,Xn,Xo,7
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,Theresa May,Indira Gandhi,Golda Meir,4
What is the capital of Bangladesh?,Dhaka,Chittagong,Khulna,Rajshahi,5
What is the densest naturally occurring element?,Osmium,Iridium,Platinum,Gold,9
What is the chemical symbol for Platinum?,Pt,P,Pl,Pm,6
What is the name of the strait separating Alaska from Russia?,Bering Strait,Strait of Gibraltar,Strait of Hormuz,English Channel,5
What is the capital of Venezuela?,Caracas,Maracaibo,Valencia,Barquisimeto,5
What is the term for the amount of matter in an object?,Mass,Weight,Volume,Density,3
What is the chemical symbol for Arsenic?,As,Ar,A,Ac,7
Who invented the printing press with movable type in Europe?,Johannes Gutenberg,Leonardo da Vinci,Galileo Galilei,Nicolaus Copernicus,4
What is the capital of Pakistan?,Islamabad,Karachi,Lahore,Rawalpindi,4
Which is the largest moon in the Solar System?,Ganymede,Titan,Callisto,Io,7
What is the chemical symbol for Bromine?,Br,B,Bo,Bm,6
What is the official language of Vatican City?,Latin,Italian,English,French,8
What is the capital of Ukraine?,Kyiv,Kharkiv,Odesa,Lviv,4
Which planet has the most moons?,Saturn,Jupiter,Uranus,Neptune,6
What is the chemical symbol for Selenium?,Se,S,Sl,Sn,7
"Who painted ""American Gothic""?",Grant Wood,Edward Hopper,Andrew Wyeth,Georgia O'Keeffe,6
What is the capital of Iran?,Tehran,Isfahan,Shiraz,Mashhad,5
What is the primary structural protein found in skin and other connective tissues?,Collagen,Keratin,Elastin,Melanin,6
What is the chemical symbol for Radium?,Ra,R,Rd,Rm,7
What is the capital of Iraq?,Baghdad,Mosul,Erbil,Basra,5
What is the most common element in the universe?,Hydrogen,Helium,Oxygen,Carbon,4
What is the chemical symbol for Antimony?,Sb,An,At,St,8
"Which composer is known as the ""Waltz King""?",Johann Strauss II,Johann Strauss I,Franz Lehár,Pyotr Ilyich Tchaikovsky,7
What is the capital of Singapore?,Singapore,There is no separate capital city,Kuala Lumpur,Johor Bahru,3
What is the boiling point of liquid nitrogen at atmospheric pressure?,-196°C (-321°F),-100°C,-273°C,0°C,8
What is the chemical symbol for Tellurium?,Te,T,Tl,Tm,8
"Who wrote ""War and Peace""?",Leo Tolstoy,Fyodor Dostoevsky,Anton Chekhov,Ivan Turgenev,6
What is the capital of Cuba?,Havana,Santiago de Cuba,Camagüey,Holguín,4
What is the chemical symbol for Polonium?,Po,P,Pl,Pn,7
Which desert is the largest hot desert in the world?,Sahara Desert,Arabian Desert,Kalahari Desert,Gobi Desert,4
What is the capital of Afghanistan?,Kabul,Kandahar,Herat,Mazar-i-Sharif,5
What does HTML stand for?,HyperText Markup Language,Hyperlinks and Text Markup Language,Home Tool Markup Language,Hyperlinking Textual Machine Language,3
What is the chemical symbol for Bismuth?,Bi,B,Bs,Bm,8
Who is known as the 'Maid of Orléans'?,Joan of Arc,Marie Antoinette,Catherine de' Medici,Eleanor of Aquitaine,5
What is the capital of North Korea?,Pyongyang,Seoul,Hamhung,Chongjin,5
Which type of rock is formed from cooled magma or lava?,Igneous,Sedimentary,Metamorphic,Crystal,4
What is the chemical symbol for Astatine?,At,As,A,Ast,9
What is the currency of Thailand?,Baht,Rupee,Ringgit,Dong,4
What is the capital of Ecuador?,Quito,Guayaquil,Cuenca,Santo Domingo,5
What is the main ore of aluminum?,Bauxite,Hematite,Galena,Sphalerite,7
What is the chemical symbol for Radon?,Rn,R,Ra,Rd,7
What is the largest island in the Mediterranean Sea?,Sicily,Sardinia,Cyprus,Crete,6
What is the capital of Sudan?,Khartoum,Omdurman,Port Sudan,Kassala,6
What is the study of birds called?,Ornithology,Entomology,Herpetology,Ichthyology,6
What is the chemical symbol for Francium?,Fr,F,Fa,Fc,8
"Who wrote ""The Divine Comedy""?",Dante Alighieri,Petrarch,Boccaccio,Machiavelli,7
What is the capital of Ethiopia?,Addis Ababa,Dire Dawa,Mek'ele,Gondar,5
What is the pH of pure water?,7,0,14,1,3
What is the chemical symbol for Actinium?,Ac,A,At,Am,9
What is the capital of Ivory Coast (Côte d'Ivoire)?,Yamoussoukro,Abidjan,Bouaké,Daloa,7
What element is diamond made of?,Carbon,Silicon,Boron,Nitrogen,3
What is the chemical symbol for Thallium?,Tl,T,Th,Ta,8
"What is the ""Domesday Book""?",A survey of England compiled for William the Conqueror,A collection of medieval laws,A religious manuscript,A historical novel,8
What is the capital of Syria?,Damascus,Aleppo,Homs,Latakia,5
What is the only sea on Earth with no coastline?,Sargasso Sea,Dead Sea,Aral Sea,Caspian Sea,9
What is the chemical symbol for Technetium?,Tc,T,Te,Tn,8
Who was the first Holy Roman Emperor?,Charlemagne,Otto I,Frederick Barbarossa,Charles V,7
What is the capital of Ghana?,Accra,Kumasi,Tamale,Sekondi-Takoradi,5
What is the chemical symbol for Promethium?,Pm,P,Po,Pr,9
What is the historical name for Thailand?,Siam,Burma,Indochina,Malaya,6
What is the capital of Uzbekistan?,Tashkent,Samarkand,Bukhara,Namangan,6
What is the name of the first successfully cloned mammal?,Dolly (the sheep),Molly (the cow),Polly (the parrot),Holly (the horse),5
What is the chemical symbol for Protactinium?,Pa,P,Pr,Pt,9
What is the main active ingredient in chili peppers that makes them hot?,Capsaicin,Piperine,Allyl isothiocyanate,Gingerol,5
What is the capital of Cameroon?,Yaoundé,Douala,Garoua,Bamenda,6
What is the term for a word that is spelled the same forwards and backward?,Palindrome,Anagram,Lipogram,Antonym,4
What is the chemical symbol for Rhenium?,Re,R,Rh,Rn,9
The ancient city of Petra is located in which modern-day country?,Jordan,Egypt,Syria,Lebanon,6
What is the capital of Tanzania?,Dodoma,Dar es Salaam,Mwanza,Arusha,6
Which type of radiation has the shortest wavelength?,Gamma rays,X-rays,Ultraviolet,Infrared,7
What is the chemical symbol for Osmium?,Os,O,Om,Ox,8
In what year was the first iPhone released?,2007,2005,2009,2001,4
What is the capital of Algeria?,Algiers,Oran,Constantine,Annaba,5
What is the most malleable metal?,Gold,Silver,Aluminum,Copper,7
What is the chemical symbol for Iridium?,Ir,I,Id,In,8
What is the common name for the Aurora Borealis?,Northern Lights,Southern Lights,Solar Flares,Cosmic Rays,3
What is the capital of Senegal?,Dakar,Thiès,Kaolack,Ziguinchor,6
What is the process of splitting an atomic nucleus called?,Fission,Fusion,Radioactivity,Decay,5
What is the chemical symbol for Thorium?,Th,T,To,Tr,8
Which country is the origin of the cocktail Mojito?,Cuba,Mexico,Brazil,Puerto Rico,5
What is the capital of Zimbabwe?,Harare,Bulawayo,Chitungwiza,Mutare,6
What is the currency of Turkey?,Lira,Rial,Dinar,Manat,4
What is the chemical symbol for Vanadium?,V,Va,Vn,Ve,7
What is the largest lake in Africa?,Lake Victoria,Lake Tanganyika,Lake Malawi,Lake Chad,6
What is the capital of Uganda?,Kampala,Entebbe,Gulu,Lira,6
Who is credited with the first circumnavigation of the Earth?,Ferdinand Magellan's expedition (completed by Juan Sebastián Elcano),Christopher Columbus,Vasco da Gama,James Cook,6
What is the chemical symbol for Tungsten?,W,Tu,Tg,Tn,8
"What is the ""Land of Fire and Ice""?",Iceland,Greenland,Norway,Finland,5
What is the capital of Mozambique?,Maputo,Beira,Nampula,Matola,7
Which of the noble gases is the lightest?,Helium,Neon,Argon,Krypton,4
What is the chemical symbol for Yttrium?,Y,Yt,Ym,Ye,8
What is the highest waterfall in the world?,Angel Falls,Tugela Falls,Niagara Falls,Victoria Falls,7
What is the capital of Angola?,Luanda,Huambo,Lobito,Benguela,6
"The Atacama Desert, one of the driest places on Earth, is located primarily in which country?",Chile,Peru,Argentina,Bolivia,7
What is the chemical symbol for Zirconium?,Zr,Z,Zi,Zo,8
What is the art of paper folding called?,Origami,Kirigami,Ikebana,Calligraphy,3
